Cooking_Space,Locality,Savelugu Municipal
Separate room for exclusive use of household,Rural,1178
Separate room for exclusive use of household,Urban,2259
Separate room shared with other household(s),Rural,915
Separate room shared with other household(s),Urban,2120
Enclosure without roof,Rural,96
Enclosure without roof,Urban,133
Structure with roof but without walls,Rural,15
Structure with roof but without walls,Urban,77
Bedroom/ hall / living room,Rural,32
Bedroom/ hall / living room,Urban,49
Veranda/porch,Rural,130
Veranda/porch,Urban,1440
Open space in compound,Rural,5779
Open space in compound,Urban,7658
Other,Rural,1
Other,Urban,1
