Wall_Material,Locality,Savelugu Municipal
Mud bricks/earth,Rural,6655
Mud bricks/earth,Urban,7439
Wood,Rural,30
Wood,Urban,29
Metal sheet/slate/asbestos,Rural,19
Metal sheet/slate/asbestos,Urban,90
Stone,Rural,29
Stone,Urban,7
Burnt bricks,Rural,12
Burnt bricks,Urban,35
Cement blocks/concrete,Rural,940
Cement blocks/concrete,Urban,7616
Landcrete,Rural,1237
Landcrete,Urban,790
Bamboo,Rural,0
Bamboo,Urban,1
Palm leaves/Thatch (grass)/Raffia,Rural,273
Palm leaves/Thatch (grass)/Raffia,Urban,13
Tarpaulin/ fabric/ canvas,Rural,2
Tarpaulin/ fabric/ canvas,Urban,6
Other,Rural,2
Other,Urban,57
