Schoolattendancestatus,Locality,Sex,3-5,6-10,11-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
Attended in the past,Rural,Male,0,25,88,316,594,609,446,272,166,99,60,25,24,27,10,4,6,0,0,0,0
Attended in the past,Rural,Female,0,33,83,265,507,355,178,72,28,16,11,0,2,2,0,0,0,0,0,0,0
Attended in the past,Urban,Male,0,32,84,434,1076,1221,1268,779,591,343,193,117,96,78,37,20,10,3,3,0,0
Attended in the past,Urban,Female,0,36,57,393,1132,1122,661,280,138,67,46,43,23,7,10,3,4,1,1,0,0
Attending now,Rural,Male,1229,2700,1597,1240,484,109,43,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Attending now,Rural,Female,1151,2162,1206,749,184,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Attending now,Urban,Male,2596,5166,2974,3240,2150,488,163,60,24,13,4,4,1,0,0,0,0,0,0,0,0
Attending now,Urban,Female,2526,4607,2666,2707,1299,202,67,18,4,3,0,0,0,0,0,0,0,0,0,0,0
Never attended,Rural,Male,1397,1005,507,621,784,803,923,732,851,568,529,298,345,190,216,146,129,57,25,7,3
Never attended,Rural,Female,1476,1124,619,757,1438,1428,1535,1240,1127,716,569,305,374,157,234,169,187,51,25,2,6
Never attended,Urban,Male,1436,600,282,557,709,740,1072,986,1116,889,742,361,443,249,302,182,165,60,26,3,6
Never attended,Urban,Female,1575,755,423,629,1505,1994,2442,1938,1916,1149,924,463,604,344,459,304,335,118,40,8,10
